Date,Service Category,Marketing Channel,Season,Customer Type,Ad Spend,Conversions,Daily Revenue,Year,Month,Day,DayOfWeek,ROI,Profit,Conversion Rate
2024-06-21,Cookie,In-store Promo,Summer,Returning,153.51,10,217.82,2024,6,21,4,0.4189303628428116,64.31,0.06514233600416912
2024-07-01,Cookie,Local Magazine,Fall,Returning,144.62,10,142.58,2024,7,1,0,-0.014105932789379006,-2.039999999999992,0.06914672935970129
2024-09-05,Cookie,Local Magazine,Spring,New,43.29,4,22.92,2024,9,5,3,-0.4705474705474705,-20.369999999999997,0.0924000924000924
2024-08-18,Bread,Local Magazine,Winter,New,116.32,2,93.7,2024,8,18,6,-0.1944635488308115,-22.61999999999999,0.017193947730398902
2024-05-16,Cupcake,In-store Promo,Spring,Returning,143.49,1,8.22,2024,5,16,3,-0.9427137779636212,-135.27,0.006969126768415917
2024-08-13,Cookie,In-store Promo,Winter,New,94.26,5,116.29,2024,8,13,1,0.23371525567579038,22.03,0.05304476978569913
2025-04-03,Cupcake,Local Magazine,Winter,Returning,196.96,5,118.9,2025,4,3,3,-0.39632412672623885,-78.06,0.02538586515028432
2024-09-13,Cupcake,Local Magazine,Spring,New,90.4,9,262.69,2024,9,13,4,1.9058628318584068,172.29,0.0995575221238938
2024-06-23,Cupcake,Instagram,Summer,New,74.51,2,78.37,2024,6,23,6,0.051805126828613594,3.8599999999999994,0.026842034626224667
2024-11-23,Bread,Local Magazine,Fall,Returning,54.75,2,25.73,2024,11,23,5,-0.5300456621004566,-29.02,0.0365296803652968
2025-04-23,Cake,Google Maps,Winter,Returning,162.29,7,298.49,2025,4,23,2,0.8392384003943559,136.20000000000002,0.04313266375007702
2025-01-16,Cookie,In-store Promo,Spring,Returning,100.5,1,47.5,2025,1,16,3,-0.527363184079602,-53.0,0.009950248756218905
2025-02-17,Cupcake,Google Maps,Summer,New,87.57,7,248.03,2025,2,17,0,1.8323626812835447,160.46,0.07993605115907275
2024-06-09,Cupcake,Instagram,Summer,New,29.9,2,30.14,2024,6,9,6,0.008026755852842876,0.240000000000002,0.06688963210702341
2024-10-01,Cupcake,Local Magazine,Summer,Returning,131.99,4,173.53,2024,10,1,1,0.31472081218274106,41.53999999999999,0.030305326161072805
2024-10-14,Cupcake,Local Magazine,Summer,Returning,37.66,1,11.01,2024,10,14,0,-0.7076473712161445,-26.65,0.026553372278279343
2024-12-26,Cake,Local Magazine,Winter,New,163.99,7,161.8,2024,12,26,3,-0.013354472833709358,-2.1899999999999977,0.04268552960546375
2024-12-03,Cupcake,In-store Promo,Winter,New,25.44,2,27.3,2024,12,3,1,0.07311320754716978,1.8599999999999994,0.07861635220125786
2025-04-10,Cupcake,Instagram,Winter,New,16.19,3,120.31,2025,4,10,3,6.4311303273625695,104.12,0.18529956763434216
2024-05-16,Cookie,Google Maps,Spring,New,104.95,2,69.67,2024,5,16,3,-0.33616007622677463,-35.28,0.019056693663649357
2025-03-18,Cookie,Local Magazine,Fall,Returning,56.94,1,24.37,2025,3,18,1,-0.5720056199508253,-32.56999999999999,0.017562346329469618
2025-02-17,Cookie,Local Magazine,Summer,Returning,199.6,6,45.49,2025,2,17,0,-0.7720941883767535,-154.10999999999999,0.030060120240480964
2025-04-06,Cupcake,Local Magazine,Winter,New,11.76,3,104.7,2025,4,6,6,7.903061224489796,92.94,0.25510204081632654
2024-11-22,Cupcake,In-store Promo,Fall,New,93.81,3,37.76,2024,11,22,4,-0.5974842767295597,-56.050000000000004,0.03197953309881676
2025-02-02,Bread,Google Maps,Summer,New,178.81,9,141.27,2025,2,2,6,-0.20994351546334092,-37.53999999999999,0.05033275543873385
2024-05-20,Cupcake,Instagram,Spring,Returning,120.6,2,35.52,2024,5,20,0,-0.7054726368159203,-85.07999999999998,0.01658374792703151
2024-10-18,Cookie,Google Maps,Summer,Returning,55.18,2,59.2,2024,10,18,4,0.0728524827836173,4.020000000000003,0.03624501631025734
2024-10-01,Cupcake,Local Magazine,Summer,New,124.23,9,329.14,2024,10,1,1,1.6494405538114785,204.90999999999997,0.07244626901714561
2025-01-03,Bread,Google Maps,Spring,New,45.85,9,315.31,2025,1,3,4,5.876990185387132,269.46,0.19629225736095965
2025-01-28,Cookie,Local Magazine,Spring,Returning,132.14,6,253.99,2025,1,28,1,0.922128046011806,121.85000000000002,0.0454063871651279
2024-11-19,Cupcake,Instagram,Fall,Returning,88.07,2,69.91,2024,11,19,1,-0.20619961394345404,-18.159999999999997,0.022709208584080848
2024-07-21,Cake,Google Maps,Fall,New,189.55,5,203.56,2024,7,21,6,0.07391189659720385,14.009999999999991,0.026378264310208385
2024-10-14,Cookie,Instagram,Summer,New,105.27,3,134.0,2024,10,14,0,0.27291726037807545,28.730000000000004,0.028498147620404674
2025-01-13,Cake,Google Maps,Spring,Returning,93.73,9,385.39,2025,1,13,0,3.111703830150432,291.65999999999997,0.09602048436999892
2024-11-29,Cupcake,Google Maps,Fall,Returning,117.39,5,70.07,2024,11,29,4,-0.4031007751937985,-47.32000000000001,0.0425930658488798
2024-05-20,Cake,In-store Promo,Spring,Returning,141.64,3,124.8,2024,5,20,0,-0.11889296808811063,-16.83999999999999,0.021180457497881958
2024-09-18,Cookie,In-store Promo,Spring,New,35.58,4,199.03,2024,9,18,2,4.593872962338392,163.45,0.11242270938729623
2025-03-17,Cookie,In-store Promo,Fall,New,188.09,4,27.58,2025,3,17,0,-0.8533680684778563,-160.51,0.021266415014089
2025-04-02,Cookie,Instagram,Winter,New,159.0,1,17.99,2025,4,2,2,-0.8868553459119496,-141.01,0.006289308176100629
2024-12-17,Cookie,Instagram,Winter,New,118.71,10,435.48,2024,12,17,1,2.668435683598686,316.77000000000004,0.08423890152472412
2025-03-19,Cake,Instagram,Fall,Returning,92.78,2,91.82,2025,3,19,2,-0.010347057555507739,-0.960000000000008,0.02155636990730761
2025-04-11,Cupcake,Instagram,Winter,New,148.57,3,40.52,2025,4,11,4,-0.7272666083327723,-108.04999999999998,0.020192501850979337
2025-03-22,Cupcake,Google Maps,Fall,New,17.01,9,438.05,2025,3,22,5,24.752498530276306,421.04,0.5291005291005291
2024-12-04,Cake,In-store Promo,Winter,Returning,56.14,9,252.34,2024,12,4,2,3.4948343427146416,196.2,0.16031350195938723
2025-04-19,Cake,Google Maps,Winter,Returning,15.21,7,122.8,2025,4,19,5,7.073635765943458,107.59,0.46022353714661407
2025-01-25,Cake,Instagram,Spring,New,105.79,9,155.0,2025,1,25,5,0.46516683996597025,49.209999999999994,0.08507420361092731
2025-01-08,Cupcake,Google Maps,Spring,New,37.63,6,214.23,2025,1,8,2,4.693064044645229,176.6,0.15944724953494552
2024-09-14,Cupcake,In-store Promo,Spring,New,92.45,4,107.1,2024,9,14,5,0.15846403461330438,14.649999999999991,0.04326663061114116
2024-06-11,Bread,Google Maps,Summer,New,139.28,3,100.4,2024,6,11,1,-0.27914991384261917,-38.879999999999995,0.0215393452039058
2024-11-03,Cake,Instagram,Fall,New,10.85,1,46.17,2024,11,3,6,3.255299539170507,35.32,0.09216589861751152
2024-09-04,Bread,In-store Promo,Spring,New,129.14,3,97.46,2024,9,4,2,-0.24531516183986368,-31.679999999999993,0.023230602446956794
2025-03-26,Bread,Local Magazine,Fall,Returning,35.41,1,17.36,2025,3,26,2,-0.5097430104490257,-18.049999999999997,0.028240609997175942
2025-05-01,Cupcake,In-store Promo,Spring,Returning,12.35,6,210.48,2025,5,1,3,16.042914979757086,198.13,0.4858299595141701
2024-06-26,Cake,Local Magazine,Summer,New,14.74,5,187.76,2024,6,26,2,11.738127544097692,173.01999999999998,0.33921302578018997
2024-12-10,Cupcake,In-store Promo,Winter,New,60.06,6,250.28,2024,12,10,1,3.167166167166167,190.22,0.09990009990009989
2024-12-23,Cupcake,Google Maps,Winter,New,35.16,7,116.8,2024,12,23,0,2.3219567690557454,81.64,0.19908987485779298
2025-04-26,Cupcake,Local Magazine,Winter,New,196.04,7,89.98,2025,4,26,5,-0.5410120383595184,-106.05999999999999,0.03570699857172006
2024-11-16,Cookie,Instagram,Fall,New,167.52,9,102.97,2024,11,16,5,-0.38532712511938877,-64.55000000000001,0.053724928366762174
2024-10-31,Cupcake,Local Magazine,Summer,Returning,182.57,3,89.32,2024,10,31,3,-0.5107629950156105,-93.25,0.016432053458947254
2024-05-30,Cupcake,Local Magazine,Spring,New,21.4,10,426.47,2024,5,30,3,18.9285046728972,405.07000000000005,0.4672897196261683
2025-01-14,Bread,Instagram,Spring,Returning,155.89,8,94.61,2025,1,14,1,-0.39309769709410475,-61.27999999999999,0.05131823721855155
2024-09-30,Bread,Instagram,Spring,Returning,145.52,6,147.15,2024,9,30,0,0.011201209455744883,1.6299999999999955,0.04123144584936778
2024-06-02,Cookie,Local Magazine,Summer,Returning,11.18,5,34.12,2024,6,2,6,2.0518783542039354,22.939999999999998,0.4472271914132379
2024-09-25,Bread,Google Maps,Spring,New,176.83,9,413.16,2024,9,25,2,1.3364813662840016,236.33,0.05089634111858847
2024-11-20,Cupcake,Google Maps,Fall,New,26.06,7,323.39,2024,11,20,2,11.409439754412894,297.33,0.2686108979278588
2024-12-23,Cake,Google Maps,Winter,New,63.25,8,221.24,2024,12,23,0,2.4978656126482215,157.99,0.12648221343873517
2025-02-27,Cookie,Google Maps,Summer,New,144.71,1,12.63,2025,2,27,3,-0.9127219957155691,-132.08,0.006910372469076083
2024-11-05,Cupcake,In-store Promo,Fall,New,132.14,7,187.75,2024,11,5,1,0.42084153170879385,55.610000000000014,0.05297411835931588
2024-05-06,Bread,Instagram,Spring,Returning,32.49,1,24.92,2024,5,6,0,-0.2329947676208064,-7.57,0.03077870113881194
2024-08-05,Bread,Google Maps,Winter,Returning,180.75,9,189.72,2024,8,5,0,0.0496265560165975,8.969999999999999,0.04979253112033195
2024-08-19,Cookie,Google Maps,Winter,New,152.51,6,270.36,2024,8,19,0,0.772736214018753,117.85000000000002,0.03934168251262213
2024-07-31,Bread,Instagram,Fall,Returning,164.55,3,19.44,2024,7,31,2,-0.8818596171376482,-145.11,0.018231540565177756
2024-11-03,Bread,Google Maps,Fall,Returning,171.59,5,45.56,2024,11,3,6,-0.7344833615012529,-126.03,0.02913922722769392
2024-06-13,Bread,Instagram,Summer,Returning,75.52,2,75.35,2024,6,13,3,-0.002251059322033921,-0.1700000000000017,0.02648305084745763
2024-07-14,Cupcake,Google Maps,Fall,New,127.95,10,98.33,2024,7,14,6,-0.23149667838999613,-29.620000000000005,0.07815552950371239
2024-09-24,Bread,Instagram,Spring,New,189.71,8,144.45,2024,9,24,1,-0.23857466659638404,-45.26000000000002,0.04216962732591851
2024-05-14,Cake,In-store Promo,Spring,Returning,119.73,7,249.44,2024,5,14,1,1.083354213647373,129.70999999999998,0.058464879311784845
2024-06-21,Cookie,In-store Promo,Summer,Returning,79.56,8,87.45,2024,6,21,4,0.09917043740573153,7.890000000000001,0.10055304172951232
2025-03-13,Cake,Instagram,Fall,Returning,192.38,4,119.01,2025,3,13,3,-0.3813806008940638,-73.36999999999999,0.020792182139515544
2025-01-20,Cake,Local Magazine,Spring,Returning,166.92,6,269.24,2025,1,20,0,0.6129882578480711,102.32000000000002,0.03594536304816679
2024-06-09,Cake,In-store Promo,Summer,New,173.8,10,357.51,2024,6,9,6,1.057019562715765,183.70999999999998,0.05753739930955121
2024-11-02,Cookie,Local Magazine,Fall,New,170.28,6,185.47,2024,11,2,5,0.08920601362461826,15.189999999999998,0.035236081747709654
2024-05-30,Cookie,In-store Promo,Spring,New,196.41,3,119.89,2024,5,30,3,-0.38959319790234714,-76.52,0.015274171376202841
2024-10-17,Cake,In-store Promo,Summer,New,70.9,6,96.72,2024,10,17,3,0.3641748942172072,25.819999999999993,0.0846262341325811
2024-10-19,Cake,Local Magazine,Summer,Returning,191.61,7,320.94,2024,10,19,5,0.6749647721935179,129.32999999999998,0.0365325400553207
2024-10-31,Bread,Google Maps,Summer,Returning,157.42,7,292.98,2024,10,31,3,0.8611358150171519,135.56000000000003,0.0444670308728243
2024-05-12,Bread,Instagram,Spring,Returning,96.15,3,59.35,2024,5,12,6,-0.3827353094123765,-36.800000000000004,0.031201248049921994
2024-10-28,Bread,Instagram,Summer,Returning,178.05,9,202.1,2024,10,28,0,0.13507441729851155,24.049999999999983,0.050547598989048016
2024-06-14,Bread,Local Magazine,Summer,New,91.01,4,85.54,2024,6,14,4,-0.06010328535325787,-5.469999999999999,0.04395121415229095
2024-06-12,Cupcake,Local Magazine,Summer,Returning,104.77,10,395.93,2024,6,12,2,2.779039801469887,291.16,0.09544716999140976
2025-02-01,Cupcake,Google Maps,Summer,New,68.76,3,24.37,2025,2,1,5,-0.6455788248981966,-44.39,0.04363001745200698
2024-10-03,Cake,Google Maps,Summer,New,58.68,1,16.29,2024,10,3,3,-0.7223926380368099,-42.39,0.017041581458759374
2024-11-07,Cake,In-store Promo,Fall,New,164.73,5,88.43,2024,11,7,3,-0.46318217689552593,-76.29999999999998,0.03035269835488375
2025-02-11,Bread,Google Maps,Summer,Returning,187.53,4,103.69,2025,2,11,1,-0.44707513464512344,-83.84,0.021329920546045964
2024-06-08,Cake,In-store Promo,Summer,Returning,128.33,6,282.04,2024,6,8,5,1.1977713706849529,153.71,0.046754461154835184
2024-08-15,Cake,Google Maps,Winter,Returning,153.87,4,48.19,2024,8,15,3,-0.6868135439006954,-105.68,0.025995970624553194
2024-08-05,Cookie,Local Magazine,Winter,New,12.51,1,33.31,2024,8,5,0,1.6626698641087134,20.800000000000004,0.07993605115907275
2024-10-15,Cake,Instagram,Summer,Returning,19.48,9,267.43,2024,10,15,1,12.728439425051336,247.95000000000002,0.46201232032854206
2024-08-22,Cake,Google Maps,Winter,Returning,118.94,6,98.64,2024,8,22,3,-0.1706742895577602,-20.299999999999997,0.05044560282495376
2024-05-12,Cupcake,In-store Promo,Spring,New,155.25,10,164.36,2024,5,12,6,0.05867954911433181,9.110000000000014,0.0644122383252818
2024-08-31,Cake,Local Magazine,Winter,Returning,169.5,5,149.74,2024,8,31,5,-0.11657817109144537,-19.75999999999999,0.029498525073746312
2025-02-23,Bread,Google Maps,Summer,New,118.84,2,68.08,2025,2,23,6,-0.42712891282396503,-50.760000000000005,0.01682935038707506
2025-01-21,Cake,Google Maps,Spring,Returning,118.1,3,128.44,2025,1,21,1,0.0875529212531753,10.340000000000003,0.02540220152413209
2024-11-27,Cupcake,Instagram,Fall,Returning,45.57,3,27.15,2024,11,27,2,-0.40421329822251484,-18.42,0.06583278472679395
2024-10-15,Cupcake,Google Maps,Summer,Returning,88.41,3,140.78,2024,10,15,1,0.5923538061305283,52.370000000000005,0.0339328130302002
2024-08-24,Cookie,Instagram,Winter,New,138.24,8,198.73,2024,8,24,5,0.4375723379629628,60.48999999999998,0.057870370370370364
2025-01-16,Cake,Local Magazine,Spring,New,57.3,8,330.18,2025,1,16,3,4.7623036649214665,272.88,0.13961605584642234
2024-08-16,Bread,Instagram,Winter,New,112.95,4,105.04,2024,8,16,4,-0.07003098716246123,-7.909999999999997,0.035413899955732624
2025-02-23,Bread,Instagram,Summer,Returning,188.66,1,20.75,2025,2,23,6,-0.8900137814057034,-167.91,0.005300540655146825
2025-04-29,Cookie,Google Maps,Winter,Returning,111.84,4,166.8,2025,4,29,1,0.4914163090128756,54.96000000000001,0.035765379113018594
2025-04-06,Cake,Local Magazine,Winter,Returning,69.95,9,409.7,2025,4,6,6,4.857040743388134,339.75,0.12866333095067906
2024-10-16,Cake,Google Maps,Summer,Returning,186.42,5,85.9,2024,10,16,2,-0.53921253084433,-100.51999999999998,0.0268211565282695
2024-09-26,Cupcake,In-store Promo,Spring,New,59.28,3,73.54,2024,9,26,3,0.2405533063427801,14.260000000000005,0.05060728744939271
2024-09-18,Bread,Google Maps,Spring,Returning,197.96,3,109.92,2024,9,18,2,-0.44473631036573047,-88.04,0.015154576682158012
2024-10-15,Cookie,Instagram,Summer,New,12.04,8,370.0,2024,10,15,1,29.730897009966778,357.96,0.6644518272425249
2024-05-17,Cookie,Instagram,Spring,Returning,53.69,3,142.0,2024,5,17,4,1.64481281430434,88.31,0.055876327062767746
2024-12-03,Cupcake,Google Maps,Winter,New,128.45,9,312.12,2024,12,3,1,1.4298949007395876,183.67000000000002,0.07006617360840794
2024-11-13,Bread,In-store Promo,Fall,Returning,29.71,9,307.52,2024,11,13,2,9.350723662066644,277.81,0.30292830696735107
2024-11-15,Cupcake,Google Maps,Fall,Returning,116.1,7,197.13,2024,11,15,4,0.6979328165374677,81.03,0.060292850990525414
2024-11-04,Bread,In-store Promo,Fall,Returning,175.98,8,274.2,2024,11,4,0,0.5581316058643028,98.22,0.045459711330833055
2025-03-06,Cookie,Instagram,Fall,Returning,74.1,1,17.79,2025,3,6,3,-0.759919028340081,-56.309999999999995,0.01349527665317139
2025-01-03,Cake,Google Maps,Spring,Returning,117.31,3,144.47,2025,1,3,4,0.23152331429545644,27.159999999999997,0.025573267411132895
2024-10-02,Bread,Google Maps,Summer,Returning,144.59,5,28.52,2024,10,2,2,-0.8027526108306245,-116.07000000000001,0.03458053807317242
2024-06-22,Cake,Google Maps,Summer,Returning,63.45,8,60.77,2024,6,22,5,-0.04223798266351457,-2.6799999999999997,0.12608353033884948
2025-03-13,Cupcake,Local Magazine,Fall,New,179.57,7,78.89,2025,3,13,3,-0.5606727181600489,-100.67999999999999,0.03898201258562121
2025-03-01,Cookie,Instagram,Fall,Returning,109.66,4,69.22,2025,3,1,5,-0.368776217399234,-40.44,0.03647638154295094
2024-11-01,Bread,Google Maps,Fall,Returning,23.1,10,333.81,2024,11,1,4,13.450649350649348,310.71,0.4329004329004329
2024-10-27,Cupcake,Google Maps,Summer,New,48.56,3,113.59,2024,10,27,6,1.3391680395387149,65.03,0.06177924217462932
2024-09-17,Cupcake,Local Magazine,Spring,Returning,162.98,9,446.23,2024,9,17,1,1.7379433059271077,283.25,0.055221499570499454
2025-02-21,Bread,Local Magazine,Summer,Returning,66.06,9,154.68,2025,2,21,4,1.3415077202543142,88.62,0.13623978201634876
2024-09-07,Cupcake,Instagram,Spring,Returning,50.23,10,232.7,2024,9,7,5,3.6326896277125225,182.47,0.1990842126219391
2024-12-31,Cookie,Google Maps,Winter,Returning,64.68,6,215.98,2024,12,31,1,2.3392084106369815,151.29999999999998,0.09276437847866419
2024-09-07,Cupcake,In-store Promo,Spring,Returning,60.55,2,52.11,2024,9,7,5,-0.13938893476465727,-8.439999999999998,0.03303055326176713
2025-04-11,Cake,In-store Promo,Winter,Returning,102.96,6,237.19,2025,4,11,4,1.303710178710179,134.23000000000002,0.05827505827505828
2025-02-06,Cake,Instagram,Summer,New,34.08,6,169.26,2025,2,6,3,3.9665492957746484,135.18,0.17605633802816903
2024-09-16,Cake,In-store Promo,Spring,Returning,149.46,3,85.32,2024,9,16,0,-0.4291449217181855,-64.14000000000001,0.02007226013649137
2024-06-30,Cupcake,Local Magazine,Summer,Returning,120.96,10,470.42,2024,6,30,6,2.8890542328042335,349.46000000000004,0.08267195767195767
2025-01-05,Cake,Local Magazine,Spring,Returning,74.69,4,20.95,2025,1,5,6,-0.7195072968268844,-53.739999999999995,0.05355469272995046
2025-04-16,Cake,In-store Promo,Winter,New,105.31,3,122.53,2025,4,16,2,0.1635172348305004,17.22,0.028487323141202163
2024-08-03,Cake,Local Magazine,Winter,Returning,130.54,2,18.01,2024,8,3,5,-0.8620346254021756,-112.52999999999999,0.01532097441397273
2024-10-04,Bread,Google Maps,Summer,Returning,10.22,5,122.95,2024,10,4,4,11.030332681017612,112.73,0.4892367906066536
2024-09-18,Cake,Local Magazine,Spring,Returning,151.52,9,181.06,2024,9,18,2,0.19495776135163667,29.539999999999992,0.05939809926082365
2024-07-05,Cupcake,In-store Promo,Fall,Returning,167.66,3,139.49,2024,7,5,4,-0.16801860908982458,-28.169999999999987,0.017893355600620303
2024-06-13,Cupcake,Local Magazine,Summer,New,120.12,8,139.84,2024,6,13,3,0.16416916416916416,19.72,0.0666000666000666
2025-03-08,Cupcake,Google Maps,Fall,New,123.12,3,47.19,2025,3,8,5,-0.6167153996101364,-75.93,0.024366471734892786
2025-04-12,Cupcake,In-store Promo,Winter,New,88.47,5,148.08,2025,4,12,5,0.6737877246524248,59.610000000000014,0.05651633322030067
2024-08-12,Cupcake,Google Maps,Winter,New,31.58,2,15.45,2024,8,12,0,-0.5107663077897403,-16.13,0.06333122229259025
2024-09-02,Cake,Instagram,Spring,New,102.46,2,41.59,2024,9,2,0,-0.5940854967792308,-60.86999999999999,0.01951981260979895
2024-05-02,Cake,In-store Promo,Spring,New,98.42,10,363.87,2024,5,2,3,2.6971144076407234,265.45,0.1016053647632595
2024-11-13,Bread,In-store Promo,Fall,Returning,157.71,10,107.07,2024,11,13,2,-0.3210956819478791,-50.640000000000015,0.06340752013188763
2024-09-15,Bread,Google Maps,Spring,Returning,196.35,3,114.74,2024,9,15,6,-0.41563534504710975,-81.61,0.015278838808250574
2025-03-22,Bread,Instagram,Fall,New,52.04,5,109.35,2025,3,22,5,1.1012682551883166,57.309999999999995,0.09607993850883935
2024-10-13,Cookie,Google Maps,Summer,New,199.69,7,91.76,2024,10,13,6,-0.5404877560218339,-107.92999999999999,0.03505433421803796
2025-01-21,Bread,In-store Promo,Spring,Returning,136.65,8,180.28,2025,1,21,1,0.31928283937065494,43.629999999999995,0.05854372484449323
2024-08-24,Cupcake,In-store Promo,Winter,New,25.41,10,435.59,2024,8,24,5,16.142463597009048,410.17999999999995,0.3935458480913026
2025-04-27,Cookie,In-store Promo,Winter,New,154.67,10,281.96,2025,4,27,6,0.8229779530613565,127.28999999999999,0.06465377901338333
2025-04-12,Cupcake,Instagram,Winter,Returning,125.52,4,108.86,2025,4,12,5,-0.1327278521351179,-16.659999999999997,0.03186743148502231
2025-04-26,Cake,In-store Promo,Winter,Returning,132.02,2,58.63,2025,4,26,5,-0.5559006211180125,-73.39000000000001,0.015149219815179518
2025-04-30,Bread,In-store Promo,Winter,New,21.42,6,58.1,2025,4,30,2,1.7124183006535947,36.68,0.2801120448179272
2024-11-01,Cookie,Instagram,Fall,New,140.71,3,49.27,2024,11,1,4,-0.6498472034681259,-91.44,0.021320446308009378
2024-05-20,Cake,In-store Promo,Spring,New,92.65,1,31.4,2024,5,20,0,-0.6610901241230438,-61.25000000000001,0.010793308148947653
2024-12-10,Bread,Google Maps,Winter,Returning,117.64,10,123.97,2024,12,10,1,0.05380822849370961,6.329999999999998,0.08500510030601836
2025-01-14,Cookie,In-store Promo,Spring,New,26.27,4,150.69,2025,1,14,1,4.736200989722117,124.42,0.15226494099733537
2024-07-08,Cake,Google Maps,Fall,New,56.86,6,105.42,2024,7,8,0,0.8540274358072459,48.56,0.10552233556102708
2024-09-10,Cookie,Local Magazine,Spring,New,53.85,3,92.91,2024,9,10,1,0.7253481894150416,39.059999999999995,0.055710306406685235
2024-08-30,Bread,Local Magazine,Winter,Returning,94.67,2,70.25,2024,8,30,4,-0.2579486637794444,-24.42,0.021126016689553183
2024-06-24,Cupcake,In-store Promo,Summer,Returning,135.22,6,276.09,2024,6,24,0,1.0417837597988462,140.86999999999998,0.04437213429965981
2024-12-07,Cupcake,Google Maps,Winter,Returning,98.8,2,43.51,2024,12,7,5,-0.5596153846153846,-55.29,0.020242914979757085
2024-09-29,Cake,In-store Promo,Spring,New,132.89,1,25.65,2024,9,29,6,-0.8069832192038527,-107.23999999999998,0.007525020693806909
2024-08-06,Cupcake,Local Magazine,Winter,Returning,181.12,1,48.99,2024,8,6,1,-0.7295163427561837,-132.13,0.005521201413427562
2025-02-15,Bread,Local Magazine,Summer,Returning,41.27,2,27.96,2025,2,15,5,-0.3225102980373153,-13.310000000000002,0.0484613520717228
2024-10-12,Bread,In-store Promo,Summer,New,168.28,10,475.72,2024,10,12,5,1.8269550748752084,307.44000000000005,0.05942476824340385
2025-03-30,Cookie,Instagram,Fall,New,113.33,6,38.12,2025,3,30,6,-0.6636371657989941,-75.21000000000001,0.052942733609812054
2025-01-30,Cake,Local Magazine,Spring,New,59.7,6,44.06,2025,1,30,3,-0.2619765494137353,-15.64,0.10050251256281406
2025-03-09,Bread,In-store Promo,Fall,Returning,28.07,10,121.34,2025,3,9,6,3.3227645172782334,93.27000000000001,0.3562522265764161
